Date,Deliveries,Orders
20130101,1120,1414
20130201,1013,1539
20130301,1144,2100
20130401,1134,1911
20130501,1381,1830
20130601,1414,1598
20130701,1584,1622
20130801,1400,1585
20130901,1239,1551
20131001,1240,1557
20131101,1138,1333
20131201,1246,1262
20140101,941,1392
20140201,956,1507
20140301,1021,1628
20140401,1099,1572
20140501,1185,1494
20140601,976,1137
